Stand,Transect,Tree,TransectPart,Xcoord,Ycoord,Projection,Datum,elev_ft,YearEstablished,Elev,Slope,Aspect,GrizPCA,Admin,Num.Trees,LongitudeX,LatitudeY
38,38.1,38.1.282,center,577326,5023271,UTM Zone 12,NAD83,9262,2006,2823,10,339,1,Custer Gallatin,15,-110.0127162,45.35868443
214,214.1,214.1.11,center,547067,5017114,UTM Zone 12,NAD83,9416,2007,2870,30,205,1,Custer Gallatin,23,-110.3996151,45.30595192
251,251.2,251.2.70,center,546707,5016863,UTM Zone 12,NAD83,8639,2004,2627,33,196,1,Custer Gallatin,18,-110.4042306,45.30371673
389,389.1,389.1.15,center,576840,5039348,UTM Zone 12,NAD83,7956,2005,2425,34,113,0,Custer Gallatin,7,-110.0164102,45.50342961
397,397.1,397.1.50,center,548789,5014595,UTM Zone 12,NAD83,9121,2004,2780,32,171,1,Custer Gallatin,19,-110.3778985,45.28316101
461,461.2,461.2.46,center,494500,5013524,UTM Zone 12,NAD83,8396,2004,2558,22,252,1,Custer Gallatin,23,-111.0701199,45.27519313
531,531.1,531.1.33,center,489058,5009904,UTM Zone 12,NAD83,8698,2004,2651,11,107,1,Custer Gallatin,17,-111.1394204,45.24254407
760,760.1,760.1.47,center,490096,5009426,UTM Zone 12,NAD83,8770,2004,2673,4,275,1,Custer Gallatin,2,-111.1261849,45.23825672
951,951.5,951.5.34,center,560047,5006825,UTM Zone 12,NAD83,8832,2004,2691,28,250,1,Custer Gallatin,6,-110.2353001,45.21235328
958,958.1,958.1.67,center,527553,5007284,UTM Zone 12,NAD83,8727,2004,2660,26,260,1,Custer Gallatin,14,-110.6490741,45.21850595
1095,1095.1,1095.1.1,center,559976,5006471,UTM Zone 12,NAD83,8514,2004,2595,23,249,1,Custer Gallatin,38,-110.2362468,45.20917305
1172,1172.1,1172.1.14,center,493603,5032381,UTM Zone 12,NAD83,8642,2005,2634,28,190,0,Custer Gallatin,60,-111.0818,45.44492396
1172,1172.5,1172.5.13,center,493647,5032306,UTM Zone 12,NAD83,8573,2005,2606,33,299,0,Custer Gallatin,90,-111.0812364,45.44424927
1256,1256.1,1256.1.81,center,497231,5003253,UTM Zone 12,NAD83,8655,2004,2638,5,131,1,Custer Gallatin,14,-111.035245,45.18275415
1261,1261.1,1261.1.157,center,506509,5032177,UTM Zone 12,NAD83,8622,2005,2628,25,71,0,Custer Gallatin,19,-110.9167705,45.44308668
1345,1345.1,1345.1.62,center,494943,5031411,UTM Zone 12,NAD83,8928,2005,2830,17,247,0,Custer Gallatin,17,-111.0646551,45.43620376
1345,1345.2,1345.2.77,center,495185,5031431,UTM Zone 12,NAD83,9292,2005,2721,17,220,0,Custer Gallatin,28,-111.0615613,45.43638549
1400,1400.1,1400.1.19,center,490123,5003678,UTM Zone 12,NAD83,8189,2004,2496,33,196,1,Custer Gallatin,95,-111.1257269,45.18651608
1424,1424.1,1424.1.1,center,494705,5031156,UTM Zone 12,NAD83,8708,2005,2654,25,142,0,Custer Gallatin,28,-111.0676953,45.43390668
1575,1575.1,1575.1.16,center,494529,5001470,UTM Zone 12,NAD83,9000,2004,2743,4,84,1,Custer Gallatin,46,-111.0696176,45.16668843
1707,1707.1,1707.1.93,center,464512,5000252,UTM Zone 12,NAD83,8557,2004,2608,22,188,1,Beaverhead-Deerlodge,3,-111.4514857,45.15485321
1789,1789.1,1789.1.2,center,509372,5029247,UTM Zone 12,NAD83,8718,2005,2657,9,158,0,Custer Gallatin,39,-110.8802177,45.41668054
1792,1792.1,1792.1.1,center,462408,5000005,UTM Zone 12,NAD83,9010,2007,2746,27,118,1,Beaverhead-Deerlodge,2,-111.4782338,45.15252092
1830,1830.1,1830.1.6,center,464857,4999239,UTM Zone 12,NAD83,8265,2004,2519,22,198,1,Beaverhead-Deerlodge,7,-111.4470254,45.14575205
1834,1834.1,1834.1.100,center,474945,5028632,UTM Zone 12,NAD83,8990,2005,2740,30,167,0,Custer Gallatin,200,-111.3201912,45.41075878
1945,1945.1,1945.1.65,center,500884,5028273,UTM Zone 12,NAD83,9387,2005,2861,31,199,0,Custer Gallatin,30,-110.9887034,45.40797555
